id,month,skills,has_skills,full_text,role,skill_category
49176763,2026-08,AI|Computer Assisted Language Learning|JavaScript|LLM|NextJS|Redis|TypeScript,1,"River (rivergtm.com) | NYC, on-site | Founding Engineer + Product Engineer | Full-time River builds voice AI agents for B2B comapnies. Our agent talks with prospects in real time, answers hard questio",Frontend Engineer,ML & AI
49159312,2026-08,Unclassified,0,"CodeWeavers | St Paul, MN, USA | Full Time | REMOTE | macOS low-level Open Source Developers | C-language systems programming https://www.codeweavers.com/about/jobs CodeWeavers needs new, full-time de",Unclassified,Other
49175789,2026-08,AI|AWS|Azure|GCP|Machine Learning|PyTorch|Python|TensorFlow,1,"ML6 | Senior AI Engineer | Python, TensorFlow, PyTorch, GCP, AWS, Azure | Full-time | Amsterdam, Berlin, Munich, Eindhoven, Ghent (EU) On-site/hybrid We are an AI engineering company that builds end-t",Backend Engineer,ML & AI
49165394,2026-08,AI|Python,1,"Proxima Fusion | Senior Software Engineer (Dev Platform) | Munich, Germany | ONSITE | Full-time We're building the world's first commercial stellarator fusion power plant. First spin-out from the Max ",Backend Engineer,ML & AI
49159002,2026-08,Unclassified,0,"Friendly Captcha | Developer Relations | PART-TIME or FULL-TIME | Munich area, Germany |  https://friendlycaptcha.com At Friendly Captcha we do one thing and we do it well: we protect websites from ma",Unclassified,Other
49173892,2026-08,AI,1,"Shovels | Remote | Senior Data & Platform (Remote, Europe) | Senior Full-Stack Product (Remote, EU/US) | Full-time Everyone building with AI is crowded into the digital world: dev tools, copilots, age",General Software Engineer,ML & AI
49174463,2026-08,AI|AWS|JavaScript|Kubernetes|Machine Learning|Python|TypeScript,1,"Confido | ML Ops, AI, Platform/Core | NYC (Chelsea) | $200k–$350k+ Base We're building the AI operating system for CPG brands like OLIPOP, Tropicana, Dr. Squatch, Chobani, and 200+ others. Our custome",Backend Engineer,ML & AI
49158050,2026-08,JavaScript|TypeScript|Unity,1,"Normal | Senior SWE Backend | Full-time | $100-140K USD | Remote PT/ET Hours | Typescript/Node/Postgres roles I'm the founder of Normcore.io, an autoscaling game server hosting service and Unity plugi",Backend Engineer,Languages
49171913,2026-08,AI|Rust,1,"Pango | Founding Software Engineer | On-site (hybrid) in Stockholm, Sweden (Visa Sponsorship possible) | Full time Pango is building the world's first Agentic Operating System for e-commerce logistics",General Software Engineer,ML & AI
49177149,2026-08,Unclassified,0,One Way Tech Hubs | Software Engineers | Fully Remote (US) | Full-Time We are looking for experienced US-based software engineers to work with our clients on exciting technology projects.Candidates sh,Unclassified,Other
49175620,2026-08,AI|Angular|Docker|FastAPI|Python|Redis,1,"Landjourney | Senior Full-Stack Engineer | Montreal, QC (hybrid, 2-3 days/week onsite) | Full-time | $160-170K CAD We build lending software for agriculture: loan origination, automated document colle",Frontend Engineer,ML & AI
49170963,2026-08,Machine Learning,1,"G-Research | London, UK | On-site |  https://www.gresearch.com/ At G-Research, researchers and engineers work side by side to solve some of the most complex problems in quantitative finance. Together,",ML / AI Engineer,ML & AI
49171202,2026-08,AI,1,"Sourcegraph | Remote | Full-Time | SWE, Tech Lead, Agent Engineer, Product Manager, Product Marketing Manager |  https://sourcegraph.com Sourcegraph is building the context layer for AI-powered softwa",General Software Engineer,ML & AI
49169663,2026-08,JavaScript|Machine Learning|Pandas|PyTorch|Python|SQL|TypeScript,1,"Arsenal FC | Research Engineer | London Colney, UK | HYBRID | FULL-TIME Yes, the 25/26 Premier League Champions! You'd be embedded with the Men's First Team analysis dept building the internal tooling",Backend Engineer,Languages
49170090,2026-08,Signal Processing,1,"Atom Computing | Many posititions | Boulder, CO/Austin, TX/Berkeley, CA | Some ONSITE, Some HYBRID We're hiring software engineers, hardware engineers, RF engineers, FPGA and ASIC engineers, Optics/Me",General Software Engineer,Other
49163160,2026-08,AI|Machine Learning,1,"Stellar Science  | Hybrid (USA) Albuquerque NM, Washington DC (Tysons VA), Dayton OH | Full time, interns/co-ops | U.S. citizenship required |  https://www.stellarscience.com Company : We're a small s",ML / AI Engineer,ML & AI
49169157,2026-08,AI|LLM|Plamo|R,1,"Preferred Networks | Tokyo or Remote in Japan | Full-time |  https://www.preferred.jp/en Preferred Networks is an AI company based in Tokyo working across the stack, from AI chips and computing infras",ML / AI Engineer,ML & AI
49167547,2026-08,AI|AWS,1,"Elucid | Senior Security Engineer | Boston, MA | ONSITE (hybrid) | $130k–$170k |  https://elucid.applytojob.com/apply/GaiNUaxbuO/Senior-Securi... Elucid builds FDA-cleared AI software that analyzes ca",Cloud Engineer,ML & AI
49174485,2026-08,Go|Machine Learning|Python|Rust|Tools For Software Configuration Management,1,"Pantograph | San Francisco, CA | ONSITE | Full-time | Software Engineer, Mechanical Engineer, Research Scientist Pantograph is a research lab developing generally intelligent robots with simple, scala",Backend Engineer,Languages
49163576,2026-08,Ios,1,Eleos Technologies ( https://eleostech.com ) | Remote Senior iOS Engineer | Permanently Remote (US-based applicants only) | Full time Eleos Technologies is a growing company building communication sof,General Software Engineer,Other
49167059,2026-08,AI,1,"Unitary Foundation | Member of Technical Staff, Fault Tolerant Quantum Compilation + Simulations | REMOTE (US) | Full-time Unitary Foundation is a 501(c)(3) non-profit research group building a quantu",General Software Engineer,ML & AI
49161851,2026-08,LLM,1,Klara Systems |  https://klarasystems.com  | Technical Marketing Engineer | Remote | Full-time / Contract Klara Systems is a FreeBSD and ZFS engineering company serving enterprise customers across Nor,ML / AI Engineer,ML & AI
49167837,2026-08,Unclassified,0,"SafetyWing | 100% Remote | Hiring Globally At SafetyWing (YC W18), we’re building a global social safety net for remote workers — simple health, insurance, and retirement products designed to replace ",Unclassified,Other
49168047,2026-08,AI,1,"Nango | Staff Backend Engineer, Founding DevRel, Founder's Associate | REMOTE (NA/LATAM/EU) + ONSITE (San Francisco) | Full-time | $140K–$220K + equity Nango ( https://nango.dev ) is an open-source pl",General Software Engineer,ML & AI
49166970,2026-08,AWS|Ansible|Docker|FastAPI|GitHub Actions|PostgreSQL|Python|Terraform,1,"Spore.Bio | Senior Software Engineer | Paris, France | Hybrid (Flexible) Spore.Bio is a deeptech startup building a new paradigm in quality control for FMCG (Food & Beverage, Cosmetics, Pharma). We ar",Backend Engineer,Cloud
49166151,2026-08,Docker|Python,1,Senior Python Backend Engineer | REMOTE (EMEA/APAC) We're looking for Python backend engineers to work on a trustless supercluster of performance-proofed GPU-enabled sandboxed docker container runners,Backend Engineer,DevOps
49174765,2026-08,Unclassified,0,"Apex Space | Multiple Roles | Full-Time | Onsite | Los Angeles, CA | apexspace.com Apex Space is building standardized spacecraft platforms to enable true mass-production of spacecraft and enabling ge",Unclassified,Other
49172407,2026-08,AI,1,Dablam | BDR | NY and London | ONSITE (2 days/week) or REMOTE within NY State or UK | Full-time | Must be US or UK work-authorized (no visa sponsorship) Dablam is an AI-native reputation intelligence ,General Software Engineer,ML & AI
49164297,2026-08,Computer Assisted Language Learning|Snowflake,1,"Chainguard | Product Manager, Scanner | REMOTE | Full-Time |  https://www.chainguard.dev/ Chainguard is the trusted source for open source. We build hardened, minimal, continuously-updated images, lib",Database Engineer,Other
49164303,2026-08,AI|JavaScript|Python|React|React Native|TypeScript,1,"AusRehab | Full-Stack Software Developer | Full Time | Sydney, Australia (Bankstown), hybrid | AU$120–160k Apply online:  https://www.ausrehab.com/careers/full-stack-ai-developer/ AusRehab is a workpl",Frontend Engineer,ML & AI
49165870,2026-08,PostgreSQL|Python|R|SQL,1,"Odoo | Software Developer | Hybrid (Belgium, 3 days/week) | Full-time | Visa + €10k Signing Bonus |  https://www.odoo.com/r/4zN Odoo builds open-source business apps used by millions. We're hiring sof",Backend Engineer,Databases
49166975,2026-08,AI|AWS|JavaScript|Kubernetes|NextJS|PostgreSQL|Python|Redis|TypeScript,1,"Phonely | San Francisco, CA | Full Time | Onsite (5 days/week) | Senior Full Stack Engineer https://phonely.ai Phonely builds AI voice agents that automate phone calls for businesses. We’re a YC S24 c",Frontend Engineer,ML & AI
49174053,2026-08,Unclassified,0,"OneCrew | Multiple Roles | ONSITE / HYBRID | San Francisco, CA OneCrew is the leading full-business platform system, purpose-built for top asphalt and concrete businesses to win more jobs, scale faste",Unclassified,Other
49163907,2026-08,AWS|JavaScript|Nestjs|NextJS|Python|React|Redis|TypeScript,1,"Detections.ai | Full-Stack Engineer, Detection Platform | REMOTE (US & Canada) | Full-time Detections.ai is building the platform for teams to create, test, organize, share, and improve detections. We",Frontend Engineer,Cloud
49175131,2026-08,Unclassified,0,"Brightcore Energy | Senior Embedded Software/Hardware Engineer | Brooklyn, NY (hybrid, 3 days/week onsite) | Full-time | $140k-$170k+ base, flexible for the right experience, plus annual bonus Brightc",Unclassified,Other
49164382,2026-08,AI,1,Shared Context Lab | Member of Technical Staff | San Francisco or New York | ONSITE | Full-time Shared Context Lab ( https://sharedcontextlab.com ) is building adaptive personal AI that understands th,General Software Engineer,ML & AI
49169017,2026-08,AI|Computer Assisted Language Learning|JavaScript|LLM|Python|TypeScript,1,"Portless | AI Engineer | REMOTE (North America only) | Full-time | $180K-$230K + equity Founding AI engineer seat. AI adoption at Portless today is basic (decks, spreadsheets, call summaries, a bit of",Backend Engineer,ML & AI
49162817,2026-08,AI|React,1,"Sudowrite |  https://sudowrite.com  | √ REMOTE (US) | √ PMF | √ PROFITABLE | Full-Time Kind, smart, low-drama people, seeking the same to help make writing tools authors dream about. Our users have pu",Frontend Engineer,ML & AI
49158552,2026-08,Unclassified,0,"Vitalize | Full-time Engineer | San Francisco (hybrid) What we do:
Hospitals run critical operations (staffing, labor planning, and capacity) on spreadsheets, phone calls, and gut instinct. Labor is t",Unclassified,Other
49162565,2026-08,Unclassified,0,"OpenRent | London, UK | Full-Time | ONSITE+PART REMOTE |  https://www.openrent.co.uk What sucked the last time you rented a house or flat? Come and fix it. OpenRent is force for good in an industry ta",Unclassified,Other
49171072,2026-08,AI|Docker|JavaScript|Kubernetes|LLM|Machine Learning|Node.js|Python|TypeScript,1,"*Strello Health | Founding Software Engineer | Full-time | Hybrid Remote | Toronto/GTA* Strello Health builds AI voice agents for healthcare. We’re post-seed, generating revenue, and scaling quickly. ",Backend Engineer,ML & AI
49170014,2026-08,JavaScript|React|TypeScript,1,Relevant Healthcare | Lead Software Engineer | Remote (US) | Full-time Relevant builds a data platform that helps safety-net healthcare providers deliver better care using data from their electronic h,Frontend Engineer,Languages
