id,month,skills,has_skills,full_text
47603039,2026-04,RAGE (digital game creation systems)|augmented reality|computer programming|geographic information systems,1,Oklo | Remote (US) or Santa Clara or Brooklyn | Full time |  https://oklo.com Join us in pioneering the next generation of nuclear reactors! You'll leverage your software skills alongside nuclear engi
47606059,2026-04,.NET|C#|Python|electronic communication|geographic information systems,1,Against Malaria Foundation | Senior Software Engineer | Remote (UK) | Full Time The AMF works to fight malaria in an extremely cost effective way with insecticide treated bed-nets. Every year hundreds
47601882,2026-04,CI/CD|DevOps|Helm|Kubernetes|Outsourcing model|database,1,Head of Engineering & Infrastructure | Full-Time | Remote | $182k - $272k USD -  https://fetlife.com/jobs/head_of_engineering_and_infrastruct... Role: Fully own our engineering and infrastructure team
47641935,2026-04,Java|Java (computer programming)|Source (digital game creation systems)|Unity (digital game creation systems)|computer programming|integrated development environment software,1,Furtim Modus | Hiring Java Developer (Full-Time) | NYC (HYBRID) | $125K-$200K + equity |  https://www.furtimmodus.com/software-engineer We are currently seeking a talented and driven Java Developer to
47603175,2026-04,Django|JavaScript|Python|React|TypeScript|Typescript|augmented reality|computer programming|geographic information systems|learning management systems,1,"RINSE | REMOTE or San Francisco, Los Angeles, Chicago, Boston, New York City, New Jersey, Seattle, Austin, Toronto, or Washington DC | Software Engineer | Full-Time | Salary: $80k-$200k USD |  https:/"
47642878,2026-04,AI|Source (digital game creation systems)|computer programming|geographic information systems|integrated development environment software|service-oriented modelling,1,"Fieldguide (fieldguide.io) | San Francisco, CA | HYBRID | FULLTIME
Vertical AI SaaS for Accounting & Audit | Fieldguide is a 150 person Series C start-up transforming how audit, advisory, and assuranc"
47604662,2026-04,AI|Unity (digital game creation systems),1,"Higharc | REMOTE | Full-time |  https://higharc.com Thousands of homes have been built with Higharc since 2022. We’re changing the way homebuilders design, sell, estimate, and build, resulting in bett"
47605460,2026-04,Airflow|ICT project management methodologies|Java|JavaScript|Kafka|Kubernetes|Python|Rust|Svelte|Trino|TypeScript|computer programming|computer technology,1,"Stackable | Product Engineer - Web & UI | Remote (Germany/UK) | ~20 people | Full or part-time We build an open source data platform on Kubernetes.
The product (Stackable Data Platform - SDP) bundles "
47606483,2026-04,AI|ML|PyTorch|Python|React|XGBoost|computer programming|learning management systems|machine learning,1,"River | Senior + Staff Engineers (Elixir, React, ML/AI) | SF or NYC or REMOTE (US, Europe, South America) | Full-Time | $150K-$250K + equity |  https://jobs.ashbyhq.com/river I'm Alex, founder and CEO"
47606297,2026-04,RAGE (digital game creation systems)|embedded systems|firmware|integrated development environment software,1,"Copper Home | Staff Embedded Systems Engineer | ONSITE (Berkeley, CA) Copper Home (fka Channing Street Copper) builds battery-integrated induction appliances for home electrification — we're making de"
47604338,2026-04,OAuth|OIDC|SAML|computer programming|geographic information systems|integrated development environment software,1,"Bloomberg | Senior Software Engineer | Hybrid (NYC) | Full-time | $160k - $240k USD + bonus Every day, Bloomberg’s clients rely on secure and seamless access to our products. Our team makes that possi"
47604474,2026-04,geographic information systems,1,"FUTO | Software Engineers | Austin, TX | Remote or Onsite | Full Time
FUTO is an organization dedicated to developing, both through in-house engineering and investment, technologies that frustrate cen"
47604429,2026-04,Rust|computer technology,1,"Zed Industries | North America, South America, Europe REMOTE |  https://zed.dev/  Zed is a company for developers, by developers. All 3 of our founders have spent years in the trenches writing softwar"
47602635,2026-04,AI|geographic information systems,1,"Locket |  https://locketcamera.com  | Hybrid, San Francisco + Remote | Full-time Locket is the fastest-growing social app among Gen Alpha and Gen Z. What if social media actually made you happier? Unl"
47606922,2026-04,computer programming|geographic information systems,1,"PostHog | Full-Time | Product engineers, backend engineers, Technical AMs, sales leader | REMOTE (all remote) | Hiring GMT-8 to GMT+2 PostHog makes dev tools that help product engineers build successf"
47611323,2026-04,CI/CD|Flask|JavaScript|Javascript|Python|Python (computer programming)|TypeScript|Typescript|Vault|Vue|computer programming|computer technology,1,"HUNT Cloud, NTNU | Trondheim, Norway | Full-stack software engineer | ONSITE |  https://about.hdc.ntnu.no/en/about/careers HUNT Cloud provides trustworthy cloud computing for high-impact science that "
47638436,2026-04,AI|create prototype of user experience solutions|penetration testing tool,1,"Aye Eye is building a privacy-first edge-AI camera platform: local AI, live video, device intelligence, and the app / developer tools around it. We’re hiring for 3 roles Remote (UK/EU preferred): 1) S"
47637465,2026-04,AI|AWS|CI/CD|DevOps|Go|JavaScript|LLM|ML|Python|Rust|TypeScript|system design,1,"Ploid AI | Barcelona, Spain | REMOTE (preferably hybrid) | Core Team | Full-time We're building an AI-first bioinformatics platform to empower life science researchers with agentic AI and LLMs. Backed"
47602386,2026-04,MongoDB|augmented reality|computer programming|geographic information systems,1,"MongoDB | Senior Developer Advocate | REMOTE (Dublin, Ireland) | Full Time My org is hiring for multiple openings for Senior Developer Advocate roles. We aren't just doing ""content."" We are the techni"
47625506,2026-04,AI|EOR|GTM/RevOps|computer programming,1,"GTM Engineer | TestGorilla TYPE: Full-time LOCATION: Remote - Spain, UK via EOR, the rest between UTC +2 to UTC +5:30 in our hiring countries via contract ( https://testgorilla-1680540968.teamtailor.c"
47613432,2026-04,AI|Accel,1,"Checkly | Multiple Roles | REMOTE | Full time |  https://www.checklyhq.com/ 
Checkly helps engineers build reliable products by unifying testing, monitoring and observability. OpenTelemetry, Playwrigh"
47606499,2026-04,JavaScript|Node.js|React|Redis|TypeScript|computer programming|geographic information systems,1,"Ashby | YC 19 | REMOTE | Hiring Product Engineers | Sr: $153k-$220k, Staff: $190k-$275k Ashby is the all-in-one recruiting platform powering hiring at the world’s most innovative companies. If you cmd"
47604056,2026-04,AI|integrated development environment software,1,"Caribou | Toronto, or Remote Canada | Full Time |  https://www.caribou.care/ Caribou helps homecare organizations attract, engage, and retain staff through data-driven recognition, rewards, and coordi"
47604550,2026-04,LiveMap|R|geographic information systems,1,"LiveMap | Geospatial Engineers (Data & Routing) | Full-Time | Switzerland or Remote (CH, EU, UK) Visa sponsorship is not provided. LiveMap is a funded startup with a vision to build the next generatio"
47603733,2026-04,AI|Go|JavaScript|Kubernetes|React|TypeScript,1,"Oneleet (YC S22) | Multiple Roles | US & NATO Countries | Remote | Full-time
Oneleet is an all-in-one cybersecurity startup that has built its own Attack Surface Monitoring (ASM), Code Scanner, Endpoi"
47605788,2026-04,C++|Python|Rust|computer technology|geographic information systems|machine learning,1,"Quadrature | Quant Dev | London, New York, Singapore | Full-Time | Onsite We’re Quadrature, a technology company in the algo trading space. We use advanced machine learning on large amounts of data to"
47603284,2026-04,AI|ai|artificial neural networks|electronic communication|geographic information systems,1,PhysicsX | Principal AI Engineer | London / NY / Remote | Full time | physicsx.ai We're building an AI-native platform that turns physics simulations from days-long jobs into millisecond inference. Th
47606879,2026-04,firmware|geographic information systems|operating systems,1,"Red Balloon Security | Security Researchers, Software Engineers | NYC, Northern Virginia | ONSITE, HYBRID | Full-time, Interns (paid) | US Citizenship Required |  https://redballoonsecurity.com We are"
47637106,2026-04,AI|computer programming|computer vision|robotics,1,"Foundry Robotics | Founding Engineers | Full-time | Onsite (London, UK) I'm Gio, CTO of Foundry Robotics. We're an early stage startup building robotics for manufacturing applications. We are looking "
47634597,2026-04,AI|AWS|Docker|Node.js|Python|React|augmented reality|computer programming,1,BioLM | Lead Platform Engineer | San Francisco (or Remote) | Full-time | biolm.ai We're building an AI platform for molecular discovery: think language models for protein and DNA design. Small foundin
47617495,2026-04,AI|integrated development environment software,1,SPADE Agriculture| Full Stack Engineer |  https://spade.ag  | Remote (US Timezones) | Full Time Spade is a Series A startup building a wide range of products for the dairy industry. Think apps for far
47632126,2026-04,AI,1,"Pinehurst, TX | Remote, Onsite, Hybrid
Senior Systems Architect (Backend / AI-Native / Not a CRUD Role) Overview
We are looking for a senior systems architect, not a feature developer.
This role is fo"
