id,month,skills,has_skills,full_text,role,skill_category
46858748,2026-02,Unclassified,0,Small boutique consulting | Remote (US) (some est meetings) | part-time/flexible/1099 Hi! I work with a small group of developers doing custom software development and consulting for small/medium busi,Unclassified,Other
47036452,2026-02,Azure|JavaScript|NextJS|Node.js|React|SQL,1,"Stack Influence | Multiple Openings: Full Stack Developer, Technical Product Manager, Product Designer & UX Research | Full-time | Remote (Worldwide) We’re a VC-backed, fully-remote, fast-growing crea",Frontend Engineer,Cloud
46857812,2026-02,Unclassified,0,"FUTO | Austin, TX | Remote | Full Time FUTO is an organization dedicated to developing, both through in-house engineering and investment, technologies that frustrate centralization and industry consol",Unclassified,Other
46857573,2026-02,Unclassified,0,"Apple | Senior Software Engineer - Transparency | Cupertino, California, US | ONSITE (3 days/week in office) We're looking for software engineers to join a team focused on transparency services. These",Unclassified,Other
46862707,2026-02,Django|JavaScript|PostgreSQL|Python|React|TypeScript,1,Fusionbox | Python + TypeScript Engineers | United States| Full-time | REMOTE (Legal to work in the US) We're a software engineering consultancy that builds enterprise software the right way. We negot,Frontend Engineer,Backend
47033489,2026-02,AI|Python|SQL,1,"Sundogs | Senior Data Analyst / Analytics Engineer | Remote EST / CET | Part-Time We're Sundogs, an early-stage startup (15 people) founded by ex-Googlers, we use AI and human creative expertise to tr",Backend Engineer,ML & AI
46858210,2026-02,Go|NumPy|Python|Rust,1,"Arizona Optical Metrology (AOM) | Software Engineer | Tucson, AZ | Onsite | Full-time AOM is bringing decades of experience in optical metrology to bear on some of the most demanding applications on e",Backend Engineer,Languages
46857717,2026-02,AI|Python|React,1,"FreightRoll | Software Engineer | Remote (US only) | $150k – $175K (Salary + Equity) | Full-time We are an AI-first logistics technology startup. Role: -Experience with Elixir or Erlang in production,",Frontend Engineer,ML & AI
46857647,2026-02,AI|Ansible|GitHub Actions|Go|JavaScript|PostgreSQL|PyTorch|Redis|Rust|TypeScript,1,"Charted Sea | Senior Product & Platform Engineer | REMOTE | Full-time
Location: Hong Kong
 https://chartedsea.com/about Charted Sea is a small, bootstrapped SaaS company helping customers scrape very ",Backend Engineer,ML & AI
46857923,2026-02,Unclassified,0,"MONUMENTAL |  https://www.monumental.co/  | Amsterdam, The Netherlands | Full Time | Onsite We make robots that autonomously construct buildings. We are currently developing and manufacturing our auto",Unclassified,Other
46857555,2026-02,AI|AWS|Go|JavaScript|Kubernetes|PostgreSQL|Redis|TypeScript,1,TextQL | Senior Software Engineer (FT) | ONSITE | New York City | $200k Salary - $400k Total Compensation Company: TextQL is working to drive the unit cost of a data-driven decision down to zero. We'r,Backend Engineer,ML & AI
46858205,2026-02,AI,1,"Graphite |Senior Software Engineers| New York, NY in our Soho Headquarters |  https://graphite.dev We’re building Graphite to help high-performing engineering teams run faster, cleaner code reviews. O",General Software Engineer,ML & AI
46862140,2026-02,AI|AWS|Kafka|Python|React|Rust,1,"Staff / Principal Product, Backend, Distributed Systems Engineers @Artemis in NYC Hiring 7+yrs Senior or Staff Engineers who want to be founding members at our Stealth AI-security startup (seed $15M).",Frontend Engineer,ML & AI
46861441,2026-02,Unclassified,0,SEEKING PARTNER | Bay Area | Applied Research Lab Not a job. I’m exploring alignment with a potential partner. I’m a systems builder (CS/infra founder; shut down my last startup) who spent the past tw,Unclassified,Other
46866258,2026-02,Unclassified,0,"Atomic Tessellator | Various | REMOTE (UTC+12) |  https://atomictessellator.com We simulate materials at the atomic level for aerospace, defence, nuclear fusion, and advanced polymers. Our team of fou",Unclassified,Other
46883150,2026-02,Embedded Systems,1,"Founding Engineer Wanted | Defense Startup | Munich/Remote
Can You Solve This?
The Challenge:  An FPV drone flies at 100 km/h. You have to detect, track, and intercept it physically. No Cloud. Just on",General Software Engineer,Other
46872403,2026-02,AI,1,"Modal | Software Engineers (Product, System, SDK) | SF, NYC (ONSITE) | Full Time | modal.com Modal builds the serverless cloud used by many of the most popular AI companies you've heard of. People use",General Software Engineer,ML & AI
46977993,2026-02,AI,1,SPADE Agriculture| Full Stack Engineer |  https://spade.ag  | Remote (US Timezones) | Full Time Spade is a Series A startup building a wide range of products for the dairy industry. Think apps for far,General Software Engineer,ML & AI
46860461,2026-02,Django|JavaScript|Python|React|TypeScript,1,"RINSE | REMOTE or San Francisco, Los Angeles, Chicago, Boston, New York, New Jersey, Seattle, Austin, Toronto, or Washington DC | Software Engineer | Full-Time |  https://www.rinse.com Rinse provides ",Frontend Engineer,Backend
46865733,2026-02,AI|Machine Learning,1,"Stellar Science  | Hybrid (USA) Albuquerque NM, Washington DC (Tysons VA), Dayton OH | Full time, interns/co-ops | U.S. citizenship required |  https://www.stellarscience.com Company : We're a small s",ML / AI Engineer,ML & AI
46864354,2026-02,AI,1,"Songscription | Founding Fullstack Engineer | San Francisco, CA | Onsite At Songscription, we train state-of-the-art AI models to automate music transcription, with the vision of enabling any musician",General Software Engineer,ML & AI
46863649,2026-02,LLM|R,1,"Uncountable | NY, SF, London & Munich (In-Person) | Full-Stack Engineering  https://www.uncountable.com/hiring/hn Uncountable accelerates R&D for industrial scientists across leading materials, chemic",ML / AI Engineer,ML & AI
46857529,2026-02,AI|AWS|JavaScript|LLM|Node.js|PostgreSQL|React|TypeScript,1,PrairieLearn (Remote US) — Full-Stack Software Engineer — TypeScript / Postgres / React / AI PrairieLearn ( https://www.prairielearn.com ) is an open-source assessment platform used by universities ac,Frontend Engineer,ML & AI
46861925,2026-02,AI|PostgreSQL|Python,1,"Midpage |  https://midpage.ai  | Senior Software/Data Engineer | prefer NYC, open to remote | Full-time | $170-240k + equity Midpage is seeking a senior engineer to help us catalog the world's legal d",Backend Engineer,ML & AI
46860967,2026-02,AI,1,Beautiful.ai | Full-Time | Remote in US & CAN | SaaS B2B Presentation Software | Series B | 16M Funding | AI Industry 1. Senior Platform Engineer | 160k - 200k Base salary + Equity |  https://job-boar,General Software Engineer,ML & AI
46858691,2026-02,Unclassified,0,"In addition to the search tools mentioned above, feel free to use  https://nthesis.ai/public/hn-who-is-hiring . You can search and chat with the posts on this page. Updates live. Hope it helps! Note: ",Unclassified,Other
46861028,2026-02,CSS|Docker|JavaScript|Kubernetes|PostgreSQL|React|Tailwind|TypeScript,1,"Realm.fun | Full-Stack Engineer | Remote (EU timezone preferred)   Realm.fun is a game server hosting platform - think ""Vercel for game servers."" We make it dead simple to spin up Minecraft, Valheim, ",Frontend Engineer,Web Technology
46858891,2026-02,Unclassified,0,"DuckDuckGo | Multiple Roles | Remote | Full-time | $178,500 - $320,000 USD + equity We are looking for candidates that are excited to join us on a mission to raise the standard of trust online. All of",Unclassified,Other
46858279,2026-02,React|React Native,1,"Software Engineer (Contract) | Chicago, IL or REMOTE (US) I am part of the hiring team. We are an early-stage venture building a new consumer mobile product in the health and wellness space, focused o",Frontend Engineer,Frontend
46858297,2026-02,JavaScript|Rust|TypeScript,1,"Arcol | Senior Software Engineer | NYC, SF, or Remote (US/Canada) | Full-time Arcol (arcol.io) is a small, high talent density team building the future of building design - a future that's collaborati",Backend Engineer,Languages
46859595,2026-02,Rust,1,"Cloudflare | Rust/DB engineers | SF/Austin/Seattle/NYC/London/Lisbon (Onsite) | Full-time Hey HN, I'm hiring engineers for the new Cloudflare Data Platform ( https://blog.cloudflare.com/cloudflare-dat",General Software Engineer,Languages
46857654,2026-02,Data Warehouse,1,"PostHog | Full-Time | Product engineers, backend engineers, Technical AMs | REMOTE (all remote) | Hiring GMT-8 to GMT+2 PostHog equips developers to build successful products by combining product anal",General Software Engineer,Other
46857784,2026-02,AI|Langchain|Neo4J,1,"Memorang (Vercel + Shopify for EdTech) | Full-Time | Hybrid - Los Angeles Our mission is to automate learning. We're building the AI stack for education—combining knowledge graphs, agents, and apps so",General Software Engineer,ML & AI
46866432,2026-02,AI|Go|NextJS|React,1,"Adalat AI |  https://www.adalat.ai  | Remote (India) | Go, React, Next.js, k8s We're Hiring at Adalat AI: Join Us in Building the Future of Justice Adalat AI is on a mission to transform India’s judic",Frontend Engineer,ML & AI
46858137,2026-02,Unclassified,0,Modash.io | Multiple roles | Multiple locations | Full-time | Remote • Modash is an end-to-end influencer marketing platform for Shopify stores. • We help every creator earn a living. • Tallinn is hom,Unclassified,Other
47000819,2026-02,Unclassified,0,"Buildkite [CI Devtool] | Senior Design Engineer, Web | Remote (PT preferred) | Full-time Buildkite’s CI platform is trusted by the world’s leading engineering teams, shipping software to over 1,000,00",Unclassified,Other
46858219,2026-02,AWS|Docker|PostgreSQL|Python|Terraform,1,"Enveritas (YC S18, non-profit) | Backend Software Engineer | Remote (Global) |  https://enveritas.org/jobs/ Enveritas is a 501(c)(3) nonprofit working on sustainability issues facing smallholder coffe",Backend Engineer,Cloud
47006572,2026-02,AI|Docker|GCP|Python,1,Areto Labs | Lead Product Engineer | Full-time | Remote (Canada) Areto Labs is building AI-powered content moderation tools to make online communities safer. Small startup (think: hands-on coding + st,Backend Engineer,ML & AI
46907390,2026-02,AI|Ios,1,"Blue | 2x Founding Engineers + EA | Remote | Full-time |  https://joinblueai.com/join-us 1x Backend/Infra Engineer + 1x Mobile/iOS Engineer + 1x SuperAdmin/EA Now that we're closing a new big round, w",General Software Engineer,ML & AI
46867043,2026-02,AI|Data Engineering,1,"DeepL | Full-time | London, Berlin/Munich, New York | HYBRID At DeepL, we're building intelligent, trusted AI for language and beyond. Hiring for technical roles: Engineering (13 roles):
Backend, Full",General Software Engineer,ML & AI
46993910,2026-02,Unclassified,0,CT RISE Network | Junior Software Developer | REMOTE (US) | Nonprofit | Full-Time CT RISE Network is a Connecticut-based nonprofit improving educational outcomes through data tools and technology that,Unclassified,Other
46993907,2026-02,Unclassified,0,CT RISE Network | Junior Software Developer | REMOTE (US) | Nonprofit | Full-Time CT RISE Network is a Connecticut-based nonprofit improving educational outcomes through data tools and technology that,Unclassified,Other
46864767,2026-02,JavaScript|Kubernetes|MySQL|React|Ruby|TypeScript,1,"Found | San Francisco, NYC, REMOTE [CAN/US] | Engineering (EM and IC roles, platform and product teams), Data, Data infra, Product | found.com We're building the next generation of financial tooling t",Frontend Engineer,Languages
