id,month,skills,has_skills,full_text
48017676,2026-05,"AI|JavaScript|ML|TypeScript|Typescript|bash|computer programming|create prototype of user experience solutions|data extraction, transformation and loading tools|data science|geographic information systems|javascript|python|scikit-learn",1,"Dablam | BDR engineer | Remote or on-site in NYC or London, UK| full-time or part-time Dablam is a reputation management company that works with top companies to shape their communication, product sto"
48017525,2026-05,DevOps|ICT project management methodologies|computer programming|geographic information systems,1,"Happy Returns | Engineering Manager | Remote, USA | Full-time Happy Returns is solving one of e-commerce’s biggest pain points: returns. We combine proprietary returns software with reverse logistics,"
47975944,2026-05,Go|Kubernetes|Python|React|Tensorflow|computer programming|electronic communication,1,"Project Debug | General Engineer | Singapore (HYBRID) | Full-time | debug.com Project Debug raises, sorts by sex, and releases millions of (non-biting) male mosquitoes in Singapore to reduce the local"
48017490,2026-05,computer programming,1,"At SentiLink, we stop identity fraud at scale. Our products protect banks, fintechs, marketplaces, and leading financial institutions from synthetic identity fraud, identity theft, and emerging threat"
48016223,2026-05,iOS,1,"First non-founder hire | Recover Systems | Onsite in Portland, Maine | 130-160k + meaningful equity from first option pool Recover is building the infrastructure for all restoration work, streamlining"
47977422,2026-05,geographic information systems|robotics,1,"MONUMENTAL |  https://www.monumental.co/  | Amsterdam, The Netherlands | Full Time | Onsite We make robots that autonomously construct buildings. We are currently developing and manufacturing our auto"
48015893,2026-05,computer technology|geographic information systems,1,"Better Stack |  https://betterstack.com/  | /^Full-?stack Engineer$/i | Remote (North America & Europe) We are software builders at :heart: CEO is a software engineer, COO is a software engineer, and "
48013515,2026-05,AI|AWS|Docker|Elasticsearch|JavaScript|MongoDB|Node.js|PostgreSQL|Prometheus|Python|React|Ruby|Terraform|TypeScript|geographic information systems,1,"Location: Charleston, SC Remote: Yes Willing to relocate: Yes Technologies: Ruby, Python, JavaScript (ES6), TypeScript, React, Node.js, PostgreSQL, MongoDB, OpenSearch/Elasticsearch, AWS (ECS, EC2, VP"
48014076,2026-05,AI|ML|computer technology|geographic information systems,1,Unit | Senior & Staff Engineers | San Francisco | Full-time | On-site Unit is building an AI agentic video platform for personalized marketing videos. We have strong traction with enterprise customers
47975772,2026-05,Source (digital game creation systems)|computer programming|geographic information systems,1,"CodeWeavers | St Paul, MN, USA | Full Time | REMOTE | Wine and General Open Source Developers | C-language systems programming https://www.codeweavers.com/about/jobs CodeWeavers needs new, full-time d"
48015477,2026-05,AI|computer programming|electronic communication,1,Clad (YC W23) | Software Engineer | NYC | withclad.com Clad is software for building physical infrastructure. We help contractors automate their back office so they can scale their business. We're a 7
47975951,2026-05,Rust|computer programming|create prototype of user experience solutions,1,"FUTO |  https://futo.tech  | Austin, TX | Remote or Onsite | Full Time FUTO is an organization dedicated to developing, both through in-house engineering and investment, technologies that frustrate ce"
48016314,2026-05,AI|VCs|computer programming|computer technology,1,"Freeform ( http://freeform.co ) | Software Engineers | Full-time | Onsite | Hawthorne, CA (Los Angeles County) Freeform builds AI-native manufacturing systems that unify software, hardware, and physic"
48012595,2026-05,AI|ML|computer programming|learning management systems,1,"Synthesia | London, Zurich, Munich | REMOTE (DE/UK/CH/ES/IE/SI/DK/CZ/BE) Synthesia is the world’s leading AI video platform for business, used by over 90% of the Fortune 100. Founded in 2017, HQ'd in "
47976367,2026-05,AI|Scratch (computer programming)|augmented reality,1,"OpenVPN Inc. | AI Platform Engineer | REMOTE (US) | Full-time | $140,000 - $150,000 per year Come work at OpenVPN! Yes, THE OpenVPN! You'll own everything from developer tooling and internal AI workfl"
48013457,2026-05,AI|geographic information systems,1,"Simple Ventures | Toronto, Canada | ONSITE (3-4 days/wk) | Full-time Simple Ventures is a Canadian venture studio that builds new companies from day zero - we source ideas, validate them with real use"
48011263,2026-05,AI|Ai|R|learning management systems,1,"By turning legal code into AI code, Norm enables enterprises to move faster and more comprehensively in their legal and compliance processes with reliability and trust. Norm Ai, the leading Legal & Co"
48016274,2026-05,AWS|Django|JavaScript|PostgreSQL|Python|Python (computer programming)|React|TypeScript,1,"FranklinCovey |  https://www.franklincovey.com/  | Senior Software Engineer | Remote (US) | Full-time We're in the business of leveling up managers and making workplaces great, in search of a senior s"
48013978,2026-05,AI|Java|Outsourcing model|augmented reality,1,"Oscilar.com | Sr/Staff Software Engineers, PM, Data Analyst | REMOTE (US/Canada/Brazil/Poland/UK) | Full-time AI Risk Decisioning™ platform that helps organizations manage onboarding, fraud, credit, a"
47978408,2026-05,Python,1,"Amplify Renewables | Senior Software Engineer, Data Platform | REMOTE (US; SF or Seattle a plus) | Full-Time | $150k - $250k (all cash) |  https://amplifyrenewables.com   We're a systematic energy for"
47979897,2026-05,computer programming,1,"IPinfo.io | Various Roles | Remote (Anywhere) | Fulltime / Partime / Contract |  https://ipinfo.io IPinfo is a leading provider of IP address data, including geolocation, VPN and residential proxy det"
48008420,2026-05,C#|Java|Kafka|Kotlin|Scala|database|geographic information systems,1,"Fold | Remote (US Only) | Senior Back End Engineer | Full-time
Fold is a publicly listed bitcoin financial services company building the tools people need to earn, buy, sell and live on Bitcoin. We're"
48012401,2026-05,AI|JavaScript|Python|TypeScript|learning management systems,1,"Waypoint Learning (EdTech) | Founding Engineer | NYC or Remote (US) | Full-time Students with disabilities are not receiving the support they deserve, and Waypoint is changing that. We're building AI "
47979377,2026-05,augmented reality|hardware components|robotics,1,"Charge Robotics | Multiple Roles | Full-time | Onsite | SF Bay Area Hi HN! We’re a YC-backed, Series-A startup building robots that build large-scale solar farms. Check out a video of our first system"
48009832,2026-05,C++|Java|Rust|distributed computing|geographic information systems,1,OneChronos | Systems Engineers | NYC (HQ) | Flexible and Remote Work | Full-Time We’re looking for software engineers to design and optimize high-performance trading systems that power our periodic au
47975581,2026-05,Go|computer programming|geographic information systems,1,"NetBird | Berlin, Germany | ONSITE & Remote for some roles | Full-time |  https://netbird.io We build open source secure remote access for teams and infrastructure. 25k+ stars, Series A. Our mission: "
48008674,2026-05,JavaScript|Node.js|React|Redis|TypeScript|computer programming|geographic information systems,1,"Ashby | YC 19 | REMOTE | Hiring Product Engineers | Sr: $153k-$220k, Staff: $190k-$275k
Ashby is the all-in-one recruiting platform powering hiring at the world’s most innovative companies. If you cmd"
48011496,2026-05,Canvas (learning management systems)|Python|computer vision|geographic information systems|iOS,1,"Twindo (Formerly Canvas; The Spatial Computing Company) | Full-time | Remote At Twindo, we’re working on spatial computing - using computer vision to 3D reconstruct and understand your surroundings so"
48008806,2026-05,ML|machine learning|robotics,1,"Acrylic Robotics | ML Lead | Montreal, QC | Onsite/Hybrid | Full-time Acrylic Robotics is a creative tech company focused on changing how people design and create art. We build software that learns a "
48002437,2026-05,AI|LESS|computer programming|geographic information systems,1,Eagle | Founding Member of Technical Staff | NYC (onsite) | Full-time | $150K–$300K + equity |  https://www.eagleeng.com We’re on a mission to radically transform the way we design and construct our b
48008854,2026-05,AI|robotics,1,"Transfyr | Full Stack Software Engineer | Cambridge, MA | Full-time | ONSITE Transfyr is building physical AI for science, and the world’s largest commercial dataset on real-world scientific execution"
